,ids,pred,truedata
0,2017-04-06T07:45:00Z,54.4353733456,53.6
1,2017-04-06T07:24:00Z,59.9954830188,59.0
2,2017-04-06T06:45:00Z,60.0835216233,59.0
3,2017-04-07T07:45:00Z,33.4631259233,33.8
4,2017-04-07T06:45:00Z,33.7399011997,33.8
5,2017-04-08T07:45:00Z,35.3741652507,35.6
6,2017-04-08T06:45:00Z,31.3743189327,32.0
7,2017-04-09T07:45:00Z,44.842880748,51.8
8,2017-04-09T06:45:00Z,44.2827218159,51.8
9,2017-04-10T06:45:00Z,55.1126129975,64.4
10,2017-04-11T07:45:00Z,62.8486027035,60.8
11,2017-04-11T06:45:00Z,62.2814559951,60.8
12,2017-04-12T07:45:00Z,47.1451807132,46.4
13,2017-04-12T06:45:00Z,47.0866565067,46.4
14,2017-04-13T06:45:00Z,42.9481271298,42.8
15,2017-04-14T07:45:00Z,47.886177799,48.2
16,2017-04-14T06:45:00Z,46.2426992364,46.4
17,2017-04-15T07:45:00Z,61.3637101061,66.2
18,2017-04-15T06:45:00Z,58.9162107669,62.6
19,2017-04-16T06:45:00Z,67.0485201146,68.0
20,2017-04-17T07:45:00Z,49.9430752108,50.0
21,2017-04-17T06:45:00Z,45.8756528219,46.4
22,2017-04-18T06:45:00Z,41.3505379336,41.0
23,2017-04-19T07:45:00Z,65.6710787066,64.4
24,2017-04-19T06:45:00Z,65.1331767424,64.4
25,2017-04-20T07:45:00Z,60.7357326806,59.0
26,2017-04-20T06:55:00Z,58.586531822,57.2
27,2017-04-20T06:45:00Z,58.5786773837,57.2
28,2017-04-21T07:45:00Z,54.0064483418,53.6
29,2017-04-21T06:45:00Z,53.9479241352,53.6
30,2017-04-22T07:45:00Z,42.8608756655,42.8
31,2017-04-22T06:45:00Z,42.8528311644,42.8
32,2017-04-23T07:45:00Z,46.198743492,46.4
33,2017-04-23T06:45:00Z,40.9939507291,41.0
34,2017-04-24T07:45:00Z,45.9842471906,50.0
35,2017-04-24T06:45:00Z,40.3245415736,41.0
36,2017-04-25T07:45:00Z,55.8789550203,55.4
37,2017-04-25T06:45:00Z,55.3730718645,55.4
38,2017-04-26T07:45:00Z,58.7407607591,57.2
39,2017-04-26T06:45:00Z,56.7160588118,55.4
40,2017-04-27T07:45:00Z,70.2759984148,69.8
41,2017-04-27T06:45:00Z,68.1754053339,68.0
42,2017-04-28T07:45:00Z,50.8369510001,50.0
43,2017-04-28T06:45:00Z,48.9178935802,48.2
44,2017-04-29T06:45:00Z,56.0737226553,55.4
45,2017-04-30T07:45:00Z,52.5908127036,51.8
46,2017-04-30T06:45:00Z,48.6463792727,48.2
47,2017-05-01T07:45:00Z,70.7313923281,68.0
48,2017-05-01T06:45:00Z,73.4226608623,73.4
49,2017-05-02T07:45:00Z,49.8537729698,48.2
50,2017-05-02T06:45:00Z,52.8297991711,51.8
51,2017-05-03T07:45:00Z,44.6283821553,44.6
52,2017-05-03T06:45:00Z,44.8922995022,44.6
53,2017-05-04T07:45:00Z,48.1225819284,50.0
54,2017-05-04T06:45:00Z,48.0925516641,50.0
55,2017-05-05T07:45:00Z,52.0597885488,51.8
56,2017-05-05T06:45:00Z,49.8521227204,50.0
57,2017-05-06T07:45:00Z,45.1293648,44.6
58,2017-05-06T06:45:00Z,44.5708858069,44.6
